Gene	sgRNA	DMSO|beta	DMSO|z	DMSO|p-value	DMSO|fdr	DMSO|wald-p-value	DMSO|wald-fdr	osi|beta	osi|z	osi|p-value	osi|fdr	osi|wald-p-value	osi|wald-fdr
AADACL3	4	-0.2449	-0.6103	0.037723	0.094088	0.54166	0.99926	0.09563	0.23996	0.75561	0.84131	0.81036	0.90609
PUSL1	4	-0.064781	-0.32531	0.48056	0.60631	0.74495	0.99926	-0.35873	-1.8013	0.10344	0.20786	0.071652	0.23417
B3GALT6	4	0.10331	0.21161	0.44028	0.56935	0.83241	0.99926	0.092257	0.18901	0.76696	0.84832	0.85009	0.92588
WDR63	4	-0.087399	-0.1855	0.36891	0.50099	0.85283	0.99926	-0.5366	-1.1371	0.018364	0.056659	0.25549	0.48481
KLHDC9	4	-0.16551	-0.47467	0.12421	0.22441	0.63502	0.99926	-0.39484	-1.1321	0.075969	0.16602	0.25757	0.48584
AXDND1	4	-0.035139	-0.16907	0.65317	0.75323	0.86574	0.99926	0.26438	1.2724	0.29012	0.43903	0.20323	0.42773
MAB21L3	4	-0.087281	-0.19029	0.36933	0.50131	0.84908	0.99926	0.18197	0.39922	0.48831	0.62789	0.68973	0.83348
IFFO2	4	0.035825	0.11139	0.86517	0.90992	0.9113	0.99926	0.026136	0.081317	0.99131	0.99433	0.93519	0.96859
HIST2H3C	4	-0.61713	-1.7957	0.00010464	0.0011105	0.072535	0.83844	-0.63713	-1.8583	0.0072202	0.028607	0.063122	0.21615
SLC44A3	4	-0.51093	-1.5207	0.00068017	0.0051917	0.12834	0.93103	-0.37466	-1.1161	0.091613	0.19041	0.26438	0.49223
ATXN7L2	4	-0.63573	-1.6473	5.232e-05	0.00061387	0.099491	0.89612	-1.4922	-3.861	0	0	0.00011292	0.0060934
C1orf194	4	-0.59464	-2.0666	0.00015696	0.0014837	0.038768	0.75293	-0.96	-3.333	5.232e-05	0.00043422	0.00085912	0.019377
LYPLAL1	4	-0.22842	-0.95529	0.047978	0.11125	0.33943	0.99926	0.089989	0.37672	0.77345	0.85342	0.70638	0.84351
OR2M5	4	-0.030757	-0.060428	0.67891	0.77311	0.95181	0.99926	-0.50075	-0.97967	0.027207	0.076583	0.32725	0.55635
OR2M3	4	-0.38676	-1.4029	0.0040287	0.018541	0.16064	0.94909	-0.35058	-1.272	0.1104	0.21762	0.20336	0.42773
OR2T12	4	-0.11991	-0.44011	0.24172	0.36827	0.65986	0.99926	-0.45108	-1.6541	0.044472	0.11098	0.098113	0.28312
OR14C36	4	-0.31837	-0.8321	0.012086	0.041383	0.40535	0.99926	0.031839	0.083299	0.97081	0.98211	0.93361	0.96783
OR2T34	4	-0.27191	-0.83012	0.024852	0.07008	0.40647	0.99926	-0.31073	-0.95002	0.14922	0.2709	0.3421	0.57004
OR2T10	4	0.15799	0.41105	0.2075	0.32853	0.68104	0.99926	0.1925	0.50089	0.45953	0.60331	0.61645	0.78427
OR2T4	4	0.19947	0.71068	0.10637	0.20024	0.47728	0.99926	0.22314	0.79506	0.3811	0.53056	0.42658	0.64472
OR2T11	4	0.083937	0.70197	0.55261	0.66861	0.4827	0.99926	0.025309	0.21166	0.99414	0.99628	0.83237	0.917
ATP6V1G3	4	-0.19053	-0.85341	0.085649	0.16995	0.39343	0.99926	-0.39212	-1.7563	0.078062	0.16953	0.079034	0.24853
ASB17	4	-0.2535	-1.3661	0.033276	0.086284	0.17191	0.95718	0.13774	0.74244	0.62172	0.74044	0.45782	0.66955
TYW3	4	0.50426	1.3058	0.00020928	0.0019455	0.19161	0.97668	-0.28448	-0.736	0.18092	0.31229	0.46173	0.67315
ERICH3	4	0.14521	0.34565	0.25072	0.37893	0.7296	0.99926	-1.1954	-2.7917	0	0	0.0052434	0.051499
LRRIQ3	4	-0.40437	-1.2254	0.0031392	0.015536	0.22041	0.98571	-1.2148	-3.6594	0	0	0.00025282	0.0095499
TPRG1L	4	-0.35906	-1.2566	0.0065401	0.026647	0.20888	0.98269	-0.30426	-1.0687	0.15607	0.28004	0.28522	0.51452
FAM213B	4	0.10355	0.31416	0.43892	0.56817	0.7534	0.99926	-0.60111	-1.82	0.0098362	0.03583	0.068766	0.22831
MYOM3	4	-0.043224	-0.17191	0.60174	0.71086	0.86351	0.99926	-0.061451	-0.24452	0.70596	0.80685	0.80683	0.90413
DMBX1	4	0.056409	0.309	0.72506	0.80805	0.75732	0.99926	-0.24214	-1.3258	0.248	0.3913	0.18492	0.40551
OR10J5	4	-0.0047967	-0.013615	0.85162	0.90142	0.98914	0.99926	-0.2065	-0.58571	0.31518	0.46428	0.55807	0.74496
TMCO2	4	-0.11482	-0.56507	0.25998	0.38924	0.57203	0.99926	0.15396	0.75833	0.5727	0.70072	0.44825	0.6618
ZNF684	4	-0.10644	-0.50471	0.29101	0.42268	0.61376	0.99926	0.043909	0.20826	0.92942	0.95608	0.83503	0.91829
TCEANC2	4	0.027379	0.09556	0.921	0.94737	0.92387	0.99926	0.35478	1.2405	0.1466	0.26744	0.21479	0.44058
PODN	4	-0.094996	-0.27672	0.33569	0.4674	0.782	0.99926	0.46269	1.352	0.054152	0.12934	0.17638	0.39553
LRRC39	4	0.096926	0.21674	0.4758	0.60213	0.82841	0.99926	0.27758	0.62089	0.26422	0.41002	0.53467	0.72911
GJB4	4	0.095027	0.4392	0.48731	0.61248	0.66051	0.99926	-0.40913	-1.8858	0.066761	0.15042	0.05932	0.2087
HMGB4	4	-0.22098	-1.1494	0.05321	0.1199	0.25038	0.99311	0.16132	0.83923	0.54973	0.68174	0.40134	0.62308
RNF19B	4	0.15944	0.85031	0.20285	0.32287	0.39516	0.99926	-0.036968	-0.19714	0.78444	0.86048	0.84372	0.9228
A3GALT2	4	-0.036195	-0.13146	0.64642	0.74734	0.89541	0.99926	-0.098447	-0.35762	0.58887	0.71353	0.72062	0.85241
DCST2	4	-0.16015	-0.79282	0.13478	0.23828	0.42788	0.99926	-0.40579	-2.0087	0.068383	0.15315	0.044564	0.17576
DNAH14	4	-0.020936	-0.059077	0.74368	0.823	0.95289	0.99926	0.13974	0.39499	0.61529	0.73541	0.69285	0.83517
OR2B11	4	-0.22851	-0.95221	0.047873	0.1111	0.34099	0.99926	0.019955	0.083171	0.98661	0.99143	0.93372	0.96785
ZNF648	4	-0.42279	-1.0014	0.0024067	0.012912	0.31663	0.99926	-0.83022	-1.9643	0.00068017	0.0044983	0.049493	0.18767
TEDDM1	4	0.14786	0.61612	0.2412	0.36768	0.53782	0.99926	-0.13759	-0.57284	0.47638	0.61712	0.56675	0.75083
C1orf122	4	-0.71548	-2.1916	5.232e-05	0.00061387	0.028408	0.69256	-0.34003	-1.043	0.12013	0.23099	0.29696	0.52632
OSCP1	4	0.23187	0.6808	0.060692	0.1314	0.496	0.99926	0.070736	0.20765	0.83875	0.89704	0.8355	0.91837
C1orf216	4	-0.27948	-1.0584	0.022132	0.064276	0.28986	0.99926	-0.58444	-2.2123	0.011929	0.041334	0.026946	0.12991
KLHDC7A	4	-0.086371	-0.25208	0.37341	0.50527	0.80098	0.99926	-0.77097	-2.2496	0.001465	0.0082865	0.024474	0.12322
VWA5B1	4	-0.2385	-0.72852	0.041909	0.10147	0.46629	0.99926	-0.53126	-1.6201	0.019672	0.059635	0.10521	0.29564
UBXN10	4	-0.23769	-0.53429	0.042223	0.10192	0.59314	0.99926	-0.39762	-0.89367	0.074347	0.16346	0.3715	0.59607
C1orf87	4	-0.40258	-0.94327	0.0032439	0.015934	0.34554	0.99926	-0.73894	-1.7303	0.0019359	0.010071	0.083569	0.25663
ARL8A	4	-0.35442	-1.0071	0.0073249	0.029276	0.31391	0.99926	-0.035813	-0.10205	0.78946	0.86435	0.91872	0.95888
SYT2	4	-0.27457	-1.0569	0.023963	0.068165	0.29058	0.99926	-0.49564	-1.9075	0.028515	0.079342	0.056454	0.20301
GOLT1A	4	0.13662	0.6761	0.28447	0.41561	0.49898	0.99926	-0.089173	-0.44129	0.61869	0.73828	0.659	0.8122
UHMK1	4	0.16096	0.58237	0.19835	0.31724	0.56032	0.99926	-0.047681	-0.17243	0.74808	0.83619	0.8631	0.93335
FCRLB	4	-0.33196	-1.6075	0.0097839	0.035769	0.10795	0.90663	-0.29991	-1.4543	0.16146	0.2867	0.14587	0.35561
WDR64	4	0.074878	0.1936	0.60817	0.71635	0.84649	0.99926	-0.083273	-0.2153	0.63705	0.75334	0.82954	0.91552
C1orf131	4	-0.92195	-2.2115	0	0	0.027001	0.68264	-1.1713	-2.8059	0	0	0.005018	0.050241
LIX1L	4	-0.21986	-0.83265	0.054204	0.12154	0.40504	0.99926	-0.35117	-1.33	0.10993	0.21697	0.18352	0.40436
SPATA17	4	0.016464	0.045764	0.99854	0.99895	0.9635	0.99926	-0.084011	-0.23356	0.63512	0.75161	0.81533	0.90813
EDARADD	4	-0.31577	-0.86988	0.012609	0.042632	0.38437	0.99926	-0.26124	-0.72125	0.21561	0.35352	0.47075	0.68092
KLF17	4	0.11301	0.64234	0.39015	0.52253	0.52066	0.99926	-0.28893	-1.6422	0.17438	0.30363	0.10056	0.28728
TMEM125	4	0.021012	0.063153	0.96856	0.98009	0.94964	0.99926	-0.70574	-2.1173	0.0032439	0.015488	0.034234	0.15042
TSACC	4	-0.1953	-0.88024	0.078899	0.15956	0.37873	0.99926	-0.32245	-1.4534	0.13724	0.25451	0.14612	0.35591
IQGAP3	4	-0.054081	-0.29076	0.53853	0.65678	0.77123	0.99926	-0.15656	-0.84172	0.4272	0.57414	0.39994	0.62155
APOA1BP	4	0.05833	0.1745	0.71239	0.79944	0.86147	0.99926	-0.32304	-0.96605	0.13666	0.25372	0.33402	0.56317
ARHGEF19	4	-0.41857	-1.0011	0.0024591	0.012912	0.31677	0.99926	-0.96588	-2.3099	5.232e-05	0.00043422	0.020892	0.11309
MRPL55	4	-0.46887	-1.4865	0.0013603	0.008719	0.13715	0.93523	-0.16901	-0.53634	0.39591	0.54489	0.59172	0.76803
HIST3H2BB	4	-0.19099	-0.55349	0.084811	0.16864	0.57993	0.99926	-1.0719	-3.1021	0	0	0.0019212	0.030025
DRAM2	4	0.23291	0.72792	0.059384	0.12929	0.46666	0.99926	-0.26511	-0.82745	0.20876	0.34504	0.40798	0.6284
PIFO	4	-0.39948	-1.3709	0.0034531	0.016734	0.17041	0.95718	0.0010559	0.0036376	0.9177	0.94929	0.9971	0.9989
C1orf162	4	-0.33181	-1.0581	0.0097839	0.035769	0.29	0.99926	-0.063905	-0.20409	0.69858	0.80158	0.83829	0.91988
OR10T2	4	0.08124	0.218	0.56747	0.68132	0.82743	0.99926	-0.41685	-1.1174	0.062104	0.14265	0.26383	0.49189
OR6P1	4	0.091043	0.26917	0.51091	0.63319	0.7878	0.99926	-1.1964	-3.5101	0	0	0.00044789	0.013211
OR10X1	4	0.01805	0.074821	0.99147	0.99501	0.94036	0.99926	-0.0059423	-0.024639	0.89264	0.93194	0.98034	0.99027
OR10Z1	4	-0.19165	-0.57728	0.084131	0.16762	0.56375	0.99926	-0.37665	-1.1345	0.089782	0.1875	0.25658	0.48521
OR6K6	4	-0.15079	-0.54702	0.15597	0.26588	0.58437	0.99926	-0.37354	-1.3548	0.092189	0.19113	0.17547	0.39452
OR6N1	4	0.012044	0.070752	0.96803	0.97977	0.94359	0.99926	-0.059186	-0.34768	0.7136	0.81252	0.72808	0.85785
TATDN3	4	-0.15569	-0.64584	0.14477	0.25189	0.51838	0.99926	-0.064798	-0.26882	0.69555	0.79901	0.78807	0.89386
BHLHE23	4	0.29785	0.8232	0.016743	0.052373	0.41039	0.99926	0.12187	0.33679	0.67122	0.78012	0.73628	0.86239
NKAIN4	4	-0.20217	-0.35792	0.070894	0.14717	0.7204	0.99926	0.26104	0.4663	0.29692	0.44646	0.641	0.80057
VSTM2L	4	-0.24072	-1.5547	0.04081	0.099974	0.12003	0.92303	-0.15512	-1.0019	0.43091	0.57728	0.31641	0.5459
FITM2	4	-0.51262	-1.5063	0.00068017	0.0051917	0.132	0.93195	-0.36748	-1.0833	0.096374	0.19732	0.27868	0.50789
WFDC12	4	-0.017121	-0.13131	0.76733	0.83969	0.89553	0.99926	-0.0088871	-0.068159	0.88165	0.92524	0.94566	0.97489
SPATA25	4	-0.26771	-1.2166	0.026422	0.073188	0.22375	0.988	-0.10664	-0.48478	0.56485	0.6949	0.62783	0.79086
OCSTAMP	4	0.08874	0.40921	0.52509	0.64532	0.68238	0.99926	0.32839	1.5148	0.18228	0.31399	0.12982	0.33406
TSHZ2	4	-0.37495	-0.84122	0.0048658	0.021243	0.40022	0.99926	-0.78871	-1.7619	0.0010987	0.0065359	0.078087	0.24677
C20orf85	4	0.012035	0.037979	0.96803	0.97977	0.9697	0.99926	0.25534	0.80607	0.30859	0.45788	0.4202	0.63974
ZNF831	4	-0.064335	-0.38101	0.48344	0.60866	0.7032	0.99926	0.0034819	0.020622	0.92738	0.95511	0.98355	0.99197
TBC1D20	4	-0.17874	-0.53169	0.10218	0.19441	0.59494	0.99926	0.47923	1.4349	0.045571	0.11294	0.1513	0.36348
SIRPD	4	-0.2224	-0.69627	0.05232	0.11848	0.48626	0.99926	-0.54417	-1.7031	0.017161	0.053832	0.088556	0.26692
C20orf141	4	0.19248	0.57228	0.12149	0.22068	0.56713	0.99926	0.54707	1.6273	0.023335	0.068384	0.10367	0.2929
PROKR2	4	0.020954	0.039629	0.96939	0.98068	0.96839	0.99926	0.2011	0.38063	0.43667	0.58221	0.70347	0.84171
SLX4IP	4	0.0015872	0.006573	0.89452	0.92959	0.99476	0.99999	0.067933	0.28133	0.84759	0.90241	0.77846	0.88892
CSTL1	4	-0.24786	-1.0141	0.036049	0.091246	0.31053	0.99926	-0.19859	-0.81322	0.33161	0.48088	0.41609	0.63578
CST9L	4	-0.10421	-0.4034	0.29938	0.431	0.68666	0.99926	0.044399	0.17189	0.92769	0.95528	0.86352	0.93355
CST9	4	0.11603	0.43664	0.37477	0.50668	0.66237	0.99926	0.2923	1.1001	0.2379	0.37917	0.27128	0.50059
MIR1-1HG	4	-0.38897	-1.9239	0.0037671	0.01754	0.054367	0.80551	-0.24298	-1.2019	0.2468	0.39	0.22942	0.45666
DUSP15	4	-0.23368	-1.2509	0.04442	0.10547	0.21098	0.98269	-0.19912	-1.066	0.33046	0.47976	0.28644	0.51558
BPIFB6	4	-0.11592	-0.33364	0.25527	0.3839	0.73865	0.99926	-0.28992	-0.83423	0.17297	0.30197	0.40415	0.62502
BPIFA3	4	-0.20639	-0.70893	0.066761	0.14101	0.47837	0.99926	-0.37261	-1.2798	0.092921	0.19204	0.2006	0.42508
C20orf144	4	-0.10746	-0.66981	0.28635	0.41748	0.50298	0.99926	0.20584	1.2832	0.42442	0.57171	0.19942	0.42319
CHMP4B	4	-0.52403	-1.7209	0.0005232	0.0042017	0.085278	0.86807	-0.38739	-1.2723	0.081411	0.17471	0.20325	0.42773
PIGU	4	-0.18208	-0.94942	0.096845	0.18644	0.34241	0.99926	-0.25525	-1.331	0.22466	0.36371	0.18321	0.40428
FAM83C	4	-0.18584	-0.65536	0.091613	0.17873	0.51224	0.99926	0.073932	0.26074	0.82755	0.889	0.79429	0.89703
GAB4	4	0.12091	0.51109	0.35117	0.48302	0.60929	0.99926	-0.2582	-1.0913	0.22022	0.35843	0.27516	0.50464
C22orf39	4	0.12762	0.26704	0.32099	0.45253	0.78944	0.99926	0.23472	0.49169	0.35238	0.50269	0.62294	0.78823
TANGO2	4	-0.13857	-0.57856	0.18537	0.30153	0.56289	0.99926	-0.67628	-2.8219	0.0041856	0.018344	0.004774	0.04882
ZNF280A	4	0.22708	0.72729	0.065976	0.13961	0.46705	0.99926	-0.11285	-0.36103	0.54738	0.67984	0.71808	0.8506
SGSM1	4	-0.26656	-1.0753	0.026788	0.073839	0.28223	0.99926	0.038265	0.15445	0.94815	0.96795	0.87725	0.93928
EMID1	4	-0.12935	-0.45432	0.21331	0.33525	0.6496	0.99926	-0.67373	-2.36	0.004238	0.018489	0.018274	0.10504
ANKRD54	4	-0.26111	-1.0205	0.030032	0.080697	0.30748	0.99926	-0.58625	-2.2906	0.011667	0.040775	0.021988	0.11654
PPP1R21	4	-0.34521	-1.1145	0.008162	0.031388	0.26505	0.99926	-0.27685	-0.89399	0.19165	0.32508	0.37133	0.59597
TRABD2A	4	-0.19346	-0.76468	0.081411	0.16345	0.44446	0.99926	0.03701	0.14657	0.9527	0.97099	0.88347	0.94231
TMEM150A	4	0.15506	0.32739	0.2165	0.3389	0.74338	0.99926	-0.2155	-0.45368	0.29718	0.44654	0.65006	0.80699
NUP35	4	-0.40761	-1.1567	0.0029299	0.014618	0.24741	0.99311	-0.28845	-0.81974	0.17517	0.30462	0.41237	0.6325
XIRP2	4	0.16952	0.41328	0.17595	0.29087	0.6794	0.99926	-0.38778	-0.94491	0.081097	0.17414	0.34471	0.57225
TYW5	4	0.038419	0.10583	0.84649	0.89784	0.91572	0.99926	-0.61864	-1.7019	0.008162	0.030989	0.08877	0.2671
NMS	4	0.14659	0.41731	0.24601	0.37374	0.67645	0.99926	0.48386	1.3777	0.043583	0.10929	0.16831	0.38591
LYG1	4	-0.24212	-0.99061	0.039868	0.098082	0.32188	0.99926	-0.37486	-1.5337	0.091456	0.19017	0.1251	0.32768
MITD1	4	-0.37361	-1.1917	0.0049704	0.021532	0.23337	0.98834	-0.24202	-0.77227	0.2481	0.3913	0.43996	0.65539
DIS3L2	4	-0.40795	-1.8719	0.0028776	0.014504	0.061214	0.81881	0.18037	0.8282	0.49218	0.631	0.40756	0.62804
CMPK2	4	-0.092753	-0.2828	0.34479	0.47633	0.77733	0.99926	-0.94827	-2.872	5.232e-05	0.00043422	0.0040793	0.044914
MBOAT2	4	-0.22426	-0.5011	0.050855	0.11613	0.6163	0.99926	-0.37993	-0.84888	0.08748	0.18436	0.39595	0.61813
CNTNAP5	4	-0.34658	-1.5657	0.008162	0.031388	0.11742	0.92053	-0.11445	-0.51712	0.54241	0.67529	0.60507	0.77668
TAF8	4	-0.89048	-2.7421	0	0	0.006105	0.50355	-0.54	-1.6651	0.017946	0.055818	0.095898	0.27977
TMEM18	4	-0.54977	-1.6584	0.0002616	0.0022371	0.097241	0.89235	-0.62868	-1.8966	0.0077957	0.030285	0.057884	0.20587
FBLN7	4	-0.28282	-1.0091	0.021242	0.062567	0.31293	0.99926	0.24528	0.87616	0.32925	0.47852	0.38094	0.60543
NEU4	4	-0.08679	-0.35098	0.37127	0.50319	0.7256	0.99926	0.020041	0.081186	0.98676	0.99143	0.93529	0.96859
C2orf73	4	-0.092992	-0.19553	0.34395	0.47555	0.84497	0.99926	0.11898	0.25118	0.68048	0.78735	0.80167	0.90086
TRIM43	4	-0.41903	-1.3209	0.0024591	0.012912	0.18652	0.97191	-0.47346	-1.4929	0.036101	0.095383	0.13546	0.34198
BBS5	4	-0.62153	-1.818	0.00010464	0.0011105	0.069057	0.83514	-0.84832	-2.4805	0.00047088	0.0032799	0.01312	0.086502
CCDC173	4	0.51025	1.244	0.00015696	0.0014837	0.21349	0.98461	0.062907	0.15308	0.86533	0.91478	0.87834	0.9397
ACMSD	4	-0.10522	-0.3626	0.29519	0.42655	0.7169	0.99926	0.097494	0.33629	0.7486	0.83653	0.73665	0.86242
ICA1L	4	-0.24094	-0.62966	0.040548	0.099448	0.52891	0.99926	-0.01215	-0.031783	0.87045	0.91795	0.97465	0.98767
FAM168B	4	-0.58906	-1.4557	0.00015696	0.0014837	0.14547	0.93893	-0.4687	-1.1635	0.037566	0.097807	0.24461	0.4721
OR9A4	4	-0.24724	-0.7794	0.03652	0.092109	0.43575	0.99926	-0.59203	-1.866	0.010778	0.03824	0.06204	0.21392
CIB4	4	-0.28485	-1.122	0.020771	0.061503	0.26188	0.99926	-0.030691	-0.12096	0.80762	0.87583	0.90373	0.95153
REG3G	4	-0.039223	-0.1628	0.62596	0.73072	0.87068	0.99926	-0.45243	-1.8763	0.043845	0.1097	0.060609	0.21095
RFTN2	4	-0.80855	-2.4902	0	0	0.012768	0.56977	-0.38583	-1.1907	0.082876	0.17719	0.23378	0.46146
CLHC1	4	-0.46883	-2.3705	0.0013603	0.008719	0.017766	0.61851	-0.41888	-2.118	0.061163	0.14144	0.034172	0.15028
PLEKHH2	4	-0.39461	-1.0809	0.0035578	0.016924	0.27975	0.99926	-0.27026	-0.74191	0.20117	0.33642	0.45814	0.66985
AP1S3	4	-0.46643	-1.6218	0.0014127	0.0089345	0.10484	0.90647	-0.85938	-2.9857	0.00041856	0.0029575	0.0028292	0.037113
C2orf76	4	0.091832	0.29955	0.50688	0.63007	0.76452	0.99926	-0.47044	-1.5312	0.036886	0.096734	0.12573	0.32856
SGPP2	4	-0.24953	-0.66272	0.035212	0.089602	0.50751	0.99926	-1.4931	-3.8896	0	0	0.00010042	0.0058559
ACVR1C	4	0.035499	0.14493	0.8669	0.91104	0.88477	0.99926	-0.21914	-0.89462	0.28996	0.43897	0.37099	0.59579
OSR1	4	-0.25203	-1.0007	0.033956	0.087466	0.31699	0.99926	-0.11423	-0.45371	0.54288	0.67565	0.65004	0.80699
TTC32	4	-0.35682	-1.1381	0.0069063	0.027889	0.25507	0.99717	-0.6067	-1.9328	0.0092607	0.034269	0.053263	0.19611
UBR3	4	-0.18497	-0.83714	0.093026	0.18093	0.40251	0.99926	-0.21458	-0.97131	0.2988	0.44785	0.33139	0.56048
KCTD18	4	-0.041093	-0.11065	0.61456	0.7215	0.91189	0.99926	-0.54235	-1.4574	0.017266	0.053966	0.145	0.35475
ALS2CR12	4	-0.29957	-0.55784	0.016272	0.051202	0.57695	0.99926	0.18104	0.34093	0.49061	0.62996	0.73315	0.86089
ZNF513	4	-0.14901	-0.57408	0.15994	0.27063	0.56592	0.99926	0.1653	0.63686	0.53696	0.67065	0.52422	0.72199
SPATA3	4	-0.15337	-0.52604	0.14953	0.25755	0.59886	0.99926	0.14695	0.50467	0.5942	0.71821	0.61379	0.78288
LYPD6	4	0.059223	0.16788	0.70612	0.79482	0.86668	0.99926	-0.51806	-1.4669	0.023178	0.06807	0.1424	0.35177
LYPD6B	4	-0.091862	-0.32119	0.34898	0.48051	0.74806	0.99926	0.29917	1.0473	0.22655	0.36577	0.29498	0.52417
GALM	4	-0.22514	-0.89038	0.050385	0.11545	0.37326	0.99926	-0.73123	-2.8884	0.0020928	0.010658	0.0038721	0.043895
TMEM198	4	-0.32397	-0.99423	0.010935	0.038405	0.32011	0.99926	-0.63889	-1.9584	0.0070633	0.02819	0.05018	0.18935
ZFAND2B	4	0.03825	0.082396	0.84764	0.89861	0.93433	0.99926	-0.64897	-1.3911	0.0060168	0.024662	0.16419	0.38078
TMEM178A	4	0.11297	0.37986	0.39052	0.52298	0.70405	0.99926	-0.096424	-0.32419	0.59546	0.71931	0.74579	0.8679
CPO	4	0.075147	0.21663	0.60655	0.71487	0.8285	0.99926	0.19094	0.5506	0.46408	0.60728	0.58191	0.76142
MDH1B	4	-0.15286	-0.69322	0.151	0.25967	0.48817	0.99926	-0.55544	-2.5189	0.015016	0.048545	0.011774	0.081485
C2orf50	4	-0.0024423	-0.012268	0.86627	0.91068	0.99021	0.99926	0.072255	0.36301	0.83305	0.89254	0.7166	0.8497
PQLC3	4	-0.16641	-0.33036	0.12259	0.22204	0.74113	0.99926	0.7832	1.5562	0.0018312	0.0096926	0.11967	0.31953
TMEM182	4	-0.049365	-0.15084	0.56469	0.67902	0.8801	0.99926	-0.67478	-2.0506	0.0041856	0.018344	0.040306	0.16557
AHSA2	4	-0.14346	-0.39232	0.17433	0.28904	0.69482	0.99926	0.025266	0.069176	0.9943	0.99638	0.94485	0.97437
FBXO36	4	-0.0096652	-0.032896	0.81777	0.8776	0.97376	0.99926	0.06006	0.20446	0.87438	0.92052	0.838	0.91984
MTERF4	4	-0.67616	-2.0382	5.232e-05	0.00061387	0.041527	0.76078	-0.72519	-2.1882	0.0023021	0.01153	0.028652	0.13462
CCDC148	4	0.021805	0.05402	0.9628	0.97597	0.95692	0.99926	-0.32102	-0.79428	0.13902	0.25716	0.42703	0.64495
M1AP	4	0.21813	0.59164	0.077382	0.15746	0.55409	0.99926	-0.30113	-0.81437	0.16021	0.28529	0.41543	0.63546
CPNE4	4	-0.43952	-1.4406	0.0021451	0.012338	0.14969	0.94194	-0.50921	-1.6693	0.025218	0.07234	0.095064	0.27829
CCDC58	4	-0.35334	-0.77308	0.0075865	0.030202	0.43948	0.99926	-0.2006	-0.44116	0.32716	0.47638	0.6591	0.81226
KCNH8	4	0.088401	0.27521	0.52744	0.64757	0.78316	0.99926	-0.50925	-1.5829	0.025166	0.072276	0.11345	0.3091
DNAJC19	4	-0.012518	-0.019049	0.79694	0.86178	0.9848	0.99926	-0.039397	-0.060137	0.77633	0.8552	0.95205	0.97731
OTOL1	4	0.021018	0.094702	0.96856	0.98009	0.92455	0.99926	-0.1224	-0.55154	0.51933	0.65479	0.58126	0.76104
FAM3D	4	-0.061233	-0.34553	0.4994	0.62357	0.7297	0.99926	-0.21663	-1.2224	0.29545	0.44486	0.22156	0.44883
ZPLD1	4	-0.11007	-0.6707	0.27725	0.40818	0.50241	0.99926	-0.37403	-2.2791	0.092032	0.19107	0.022661	0.11865
LYZL4	4	-0.1209	-0.48141	0.23879	0.36515	0.63022	0.99926	0.041502	0.1655	0.93779	0.9614	0.86855	0.93525
KLHL40	4	-0.080356	-0.22388	0.40057	0.53207	0.82285	0.99926	-0.25464	-0.70948	0.22576	0.36487	0.47802	0.68631
TRIM71	4	-0.18856	-0.61843	0.087689	0.1728	0.53629	0.99926	-0.3845	-1.261	0.083974	0.17899	0.20731	0.43185
FAM131A	4	-0.35799	-1.6495	0.006697	0.027119	0.099044	0.89463	0.1004	0.46319	0.7395	0.83004	0.64323	0.80248
CD200R1	4	-0.2722	-1.3298	0.024695	0.069658	0.18357	0.97067	-0.27098	-1.3243	0.20028	0.33538	0.18541	0.40601
CHCHD4	4	-0.82465	-2.3431	0	0	0.019125	0.62998	0.32737	0.93172	0.18364	0.3156	0.35148	0.57943
ZDHHC19	4	-0.2164	-0.79239	0.056872	0.12553	0.42814	0.99926	0.19437	0.71227	0.45388	0.59762	0.4763	0.68491
CRYBG3	4	0.04332	0.24545	0.81343	0.87436	0.80611	0.99926	0.1685	0.95483	0.52692	0.66143	0.33966	0.56795
DCBLD2	4	-0.26332	-1.0325	0.02841	0.07712	0.30182	0.99926	-0.0062156	-0.024384	0.89191	0.93163	0.98055	0.99029
LRRC15	4	-0.49896	-2.0422	0.00078481	0.0057759	0.041127	0.76051	-0.95155	-3.8944	5.232e-05	0.00043422	9.8453e-05	0.0058559
FAM43A	4	-0.38742	-1.6378	0.0039764	0.018353	0.10145	0.90042	-0.15534	-0.65726	0.43049	0.57692	0.51102	0.71155
TPRA1	4	0.10012	0.31082	0.4577	0.58535	0.75593	0.99926	-0.59006	-1.8307	0.011092	0.039093	0.067138	0.22463
TMEM42	4	-0.23563	-0.7304	0.043531	0.10408	0.46515	0.99926	-0.23851	-0.7399	0.25454	0.3992	0.45936	0.67105
UROC1	4	-0.14229	-0.45377	0.1771	0.29204	0.65	0.99926	-0.6515	-2.0766	0.0059645	0.02459	0.037839	0.16
ERICH6	4	-0.046288	-0.20851	0.58327	0.69545	0.83483	0.99926	0.19136	0.86241	0.46288	0.60639	0.38846	0.61209
NUDT16	4	0.037928	0.19829	0.85042	0.9005	0.84282	0.99926	-0.25487	-1.3322	0.22524	0.36431	0.18281	0.40381
COL6A6	4	0.30653	0.79382	0.014388	0.047025	0.4273	0.99926	0.23666	0.61297	0.34814	0.49813	0.5399	0.73245
GRK7	4	-0.26324	-0.90009	0.02841	0.07712	0.36807	0.99926	0.25179	0.86135	0.3157	0.46487	0.38905	0.61241
